"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",27.752771406663,0.0732980254420968,378.629181881398,0
"2","trueskill_sigma",-0.332915066710213,0.0100912301967547,-32.9905333858379,3.2253228976436e-237
"3","gold",-2.82808123656549e-05,1.0420821317284e-05,-2.7138755674419,0.00665141846973101
"4","deaths",-0.0332467600371987,0.00450204210748532,-7.38481765461967,1.54014768461114e-13
"5","assists",0.00267166909560774,0.00270485852667589,0.987729697970957,0.323287782116878
"6","last_hits",0.000412437986184828,0.00016374293832344,2.5188138823437,0.0117768587415289
"7","hero_healing",5.73040208226507e-05,1.33211732488199e-05,4.30172476194821,1.69657549629873e-05
"8","xp_other",1.79899029158484e-05,1.42195870062203e-05,1.26514946657585,0.205821128624985
